LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              GINI_CLUST
150122                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                50                  279.76              0.18                0.18                F 
150141                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                187                 292.36              0.64                0.64                F 
150131                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                34                  192.39              0.18                0.18                F 
150104                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                45                  113.83              0.40                0.39                F 
150116                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                167                 184.23              0.91                0.91                F 
150130                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                104                 342.23              0.30                0.30                F 
150120                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                81                  165.66              0.49                0.49                F 
150140                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                292                 905.05              0.32                0.32                F 
150113                          1                   0.0001000           3652500             1045                2692.18             0.39                0.37                85                  216.68              0.39                0.39                F 
150111                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                1026                578.93              1.77                1.79                F 
150137                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                843                 571.33              1.48                1.48                F 
150134                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                185                 176.53              1.05                1.05                F 
150115                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                1157                645.76              1.79                1.81                F 
150103                          3                   0.0001000           3652500             1115                1859.02             0.60                0.59                1018                1453.45             0.70                0.69                F 
150114                          3                   0.0001000           3652500             1115                1859.02             0.60                0.59                97                  405.57              0.24                0.24                F 
150135                          4                   0.0001000           3652500             1253                1798.59             0.70                0.69                1253                1798.59             0.70                0.69                F 
150110                          5                   0.0001000           3652500             6809                6011.21             1.13                1.16                1564                1558.18             1.00                1.00                F 
150117                          5                   0.0001000           3652500             6809                6011.21             1.13                1.16                1010                998.64              1.01                1.01                F 
150112                          5                   0.0001000           3652500             6809                6011.21             1.13                1.16                725                 670.05              1.08                1.08                F 
150132                          5                   0.0001000           3652500             6809                6011.21             1.13                1.16                3510                2784.34             1.26                1.28                F 
150102                          6                   0.0001000           3652500             586                 772.58              0.76                0.76                73                  102.07              0.72                0.71                F 
150139                          6                   0.0001000           3652500             586                 772.58              0.76                0.76                16                  31.23               0.51                0.51                F 
150106                          6                   0.0001000           3652500             586                 772.58              0.76                0.76                497                 639.29              0.78                0.78                F 
